taxonomy_row,requirement_id,requirement_name,subrequirement_id,subrequirement_name,definition,inputs,outputs,boundary,source_work_object
175,req_025,结果解释,sub_175,解释模块贡献,利用已完成的消融结果估计各组件的独立贡献。,待解释的发现、相关上下文和可用机制证据,对发现意义、关系或机制的解释及对应证据；验收要点：贡献结论来自对应受控比较并报告不确定性。,针对异常定位原因时使用诊断；对象边界：不含承载结果的论文版式和原始运行日志。,实验
176,req_026,结果可视化,sub_176,生成结果表格,由结构化结果按固定规则生成论文或报告表格。,已有研究结果、目标格式规范和语义保持要求,符合格式规范且实质语义不变的研究结果；验收要点：表格单元格可回溯原始记录和生成代码。,不改变实质语义或论证内容；对象边界：不含承载结果的论文版式和原始运行日志。,数据
177,req_026,结果可视化,sub_177,可视化研究结果,将研究数据映射为符合分析目的的图形。,待表达的研究结果、视觉任务、受众和编码约束,视觉编码明确、数据可追溯且可复现的研究结果图形或图表；验收要点：数据映射、坐标、单位和图例正确，图可由源数据重建。,不解释结果。,数据
178,req_027,规划论文结构,sub_178,核验论文论证逻辑,检查主张、理由和证据之间的论证链是否完整。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：每个主要结论均有前提和证据，逻辑跳步被定位。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
179,req_027,规划论文结构,sub_179,规划论文大纲,安排章节目标、论证顺序和内容归属。,研究目标、可用资源、约束、依赖和完成条件,包含步骤、依赖、资源、顺序和完成条件的行动计划；验收要点：研究问题、方法、结果和结论均有唯一主要归属。,不撰写正文。,论文
180,req_028,撰写相关工作,sub_180,撰写相关工作内容,依据已核验来源撰写概念和相关工作。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：关键陈述有匹配来源，并区分原文事实和作者综合。,不编造引用。,论文
181,req_028,撰写相关工作,sub_181,撰写参考文献列表,汇总正文实际引用的文献记录。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：正文引用与列表双向对应且无缺项。,不调整格式样式。,论文
182,req_028,撰写相关工作,sub_182,格式化文献引用,按指定样式统一正文引用和参考文献格式。,已有科研文档、目标格式规范和语义保持要求,符合格式规范且实质语义不变的科研文档；验收要点：字段、顺序和标点符合目标规范。,不核验内容结论。,论文
183,req_029,撰写方法实验章节,sub_183,撰写方法章节,依据实现记录说明研究方法及复现所需细节。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：关键步骤、参数和公式完整且与代码一致。,只压缩来源内容时使用总结；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
184,req_029,撰写方法实验章节,sub_184,撰写实验设置章节,说明数据、基线、配置、指标和实验协议。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：实验条件完整并可关联实际运行配置。,只压缩来源内容时使用总结；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
185,req_029,撰写方法实验章节,sub_185,核验方法描述一致性,比较论文方法步骤与实际代码执行流程。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：每个关键操作均有代码对应，差异被明确列出。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文；代码
186,req_029,撰写方法实验章节,sub_186,核验符号实现一致性,比较论文符号、索引和参数与代码变量及运算含义。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：关键符号具有唯一代码映射，方向和单位一致。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文；代码
187,req_029,撰写方法实验章节,sub_187,撰写结果分析内容,客观陈述已核验的实验结果。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：所有数值可追溯，正文与图表一致。,不进行扩展解释。,论文
188,req_029,撰写方法实验章节,sub_188,撰写讨论内容,解释结果意义、局限和可能机制。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的论文正文文本；验收要点：每项解释关联结果或文献并标明推断性质。,不引入无证据结论。,论文
189,req_030,编排图表,sub_189,生成论文表格,将已核验结果组织为论文表格。,生成目标、依据材料、内容要求和约束,符合内容、功能和约束要求的新科研文档；验收要点：单元格、单位、标题和条件与源结果一致。,不重新计算结果。,论文
190,req_030,编排图表,sub_190,注释论文图表,为图表补充可独立理解的标题、条件、单位和缩写说明。,需要说明的局部科研文档、实际含义和注释规范,与实际含义一致、位置明确且不改变核心内容的科研文档注释；验收要点：说明与图表内容一致，必要实验条件无缺失。,改变核心内容或行为时使用修改；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
191,req_031,论文修订,sub_191,修改学术文本段落,在保持已确认含义的前提下改善段落表达和组织。,已有科研文档、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版科研文档；验收要点：语义未漂移，语言和段落结构符合学术语体。,符合重构修复优化或格式化条件时优先使用相应类型；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
192,req_031,论文修订,sub_192,整合外部证据,把已核验的外部证据放入其实际支持的主张附近。,待连接的多个科研文档、接口边界和共同运作约束,能够共同运作或形成连贯整体的科研文档及接口记录；验收要点：证据与主张匹配，引用位置和限定条件正确。,只改变排列归属时使用组织；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
193,req_031,论文修订,sub_193,修改论文篇幅,在不损失关键事实和逻辑的情况下满足字数限制。,已有科研文档、变更请求、影响范围和保持条件,满足变更要求且未破坏保持条件的新版科研文档；验收要点：最终字数合规，核心主张和必要证据仍完整。,符合重构修复优化或格式化条件时优先使用相应类型；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
194,req_031,论文修订,sub_194,补充事实内容,识别文稿缺失的必要事实并用可核验来源补充。,待连接的多个科研文档、接口边界和共同运作约束,能够共同运作或形成连贯整体的科研文档及接口记录；验收要点：新增事实有来源且填补明确内容缺口。,只改变排列归属时使用组织；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
195,req_031,论文修订,sub_195,合并论文修改,将已确认修改应用到主文档而不遗漏或覆盖无关内容。,待连接的多个科研文档、接口边界和共同运作约束,能够共同运作或形成连贯整体的科研文档及接口记录；验收要点：修改清单逐项落地，未修改区域保持不变。,只改变排列归属时使用组织；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
196,req_031,论文修订,sub_196,协调论文章节,调整重复内容的主要归属和交叉引用。,多个已有论文正文、目标结构、顺序、命名和归属规则,具有明确顺序、层次、命名、归属或版本关系的论文正文集合；验收要点：同一论点不被无必要重复，章节衔接可理解。,不删除独有信息。,论文
197,req_031,论文修订,sub_197,核验论文交叉引用,检查文内编号和交叉引用指向正确对象。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：所有引用可解析，无缺号、重号或错误目标。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
198,req_031,论文修订,sub_198,核验结果陈述一致性,交叉检查展示内容和文字陈述是否与原始结果一致。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：每项数值和排序均可回溯，差异有问题清单。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文；数据
199,req_031,论文修订,sub_199,核验研究证据链,记录结论与支持实验、运行、代码版本和数据版本的关联。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：任一结论可双向追溯至完整证据，排除证据也被记录。,输出连续程度或优劣判断时使用评估；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文；实验；代码；数据
200,req_032,回应审稿意见,sub_200,修订评审相关内容,依据评审意见和可用证据，修改评审意见直接涉及的论文内容并记录处理位置。,评审意见、当前论文、相关证据和修改约束,完成修改的论文、意见—修改映射、修改位置和处理状态,只修改评审意见直接涉及的论文内容并记录处理位置；不撰写独立逐项回复，不修改与评审无关的内容。,论文
201,req_032,回应审稿意见,sub_201,撰写评审回复,针对审稿质疑撰写有证据的逐点答复。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的Rebuttal文本；验收要点：答复覆盖全部问题，引用修改位置或新增证据。,只压缩来源内容时使用总结；对象边界：不含由多个文件和依赖组成的完整交付集合。,论文
202,req_033,成果发布,sub_202,核验投稿格式,检查版式、匿名、篇幅和文件规范。,待核验命题、核验标准、目标范围和可追溯证据,关于论文正文命题的成立判断、差异清单和可追溯证据；验收要点：目标渠道的格式检查项逐项通过。,不评价研究内容。,论文
203,req_033,成果发布,sub_203,整理投稿材料,按投稿要求组织主文、附录、声明和补充文件。,多个已有研究资产、目标结构、顺序、命名和归属规则,具有明确顺序、层次、命名、归属或版本关系的研究资产集合；验收要点：文件清单完整、命名正确且引用关系有效。,要求元素共同运作时使用集成；对象边界：单篇内容性文档仍归入科研文档。,论文
204,req_033,成果发布,sub_204,撰写研究复现文档,说明从环境准备到结果重现的可执行步骤。,写作目标、事实材料、受众、结构要求和引用依据,结构、事实、体裁和来源要求明确的复现文档文本；验收要点：独立执行者可按文档产生约定结果。,只压缩来源内容时使用总结；对象边界：不含由多个文件和依赖组成的完整交付集合。,研究方案；环境；代码；实验
205,req_033,成果发布,sub_205,撰写研究资产说明,按资产类型记录数据集、模型或实验的用途、来源、限制、评价和风险。,已核验的研究资产、资产类型、用途、来源、评价结果、限制、风险和说明模板,包含用途、来源、适用范围、评价、限制和风险的研究资产说明卡,只撰写与研究资产事实一致的说明卡；不编造用途、评价或风险信息，不打包或发布资产。,数据；代码；实验
206,req_033,成果发布,sub_206,打包研究资产,将代码、配置和必要资产组织为自包含发布包。,已完成的投稿包组成元素、依赖、元数据、入口和完整性要求,组成完整、入口明确、依赖和版本可追溯的投稿包交付集合；验收要点：包内容完整，通过离线完整性和复现入口检查。,不执行发布。,代码；数据；环境；实验
207,req_033,成果发布,sub_207,发布研究资产,将已验证Artifact上传到指定渠道并建立版本记录。,已核验的模型权重、目标渠道、版本、许可证和发布权限,目标渠道中可访问的模型权重版本、版本标识和发布记录；验收要点：发布物可下载，校验值、版本和许可明确。,不负责发布前内容构造和打包；对象边界：单篇内容性文档仍归入科研文档。,数据；代码；实验；论文
208,req_033,成果发布,sub_208,核验研究资产,测试研究资产的入口，核验其组成完整性、可复现性、版本和许可要求。,研究资产、组成清单、复现入口、版本、许可和核验标准,测试证据、完整性与可复现性结论、缺失项和合规风险,不修改、打包或发布研究资产。,代码；数据；环境；实验
209,req_034,进度管理,sub_209,协调并行实验,安排并行实验的资源、命名和产物隔离。,并行行动、参与主体、依赖、资源和冲突规则,依赖满足、资源冲突得到处理的联合安排及状态记录；验收要点：任务无资源超配，运行ID和输出目录不互相覆盖。,只分配时间资源时使用调度；对象边界：不含单个实验实例及其内部运行状态。,研究方案；实验；环境
210,req_034,进度管理,sub_210,维护研究任务依赖,记录研究任务之间的前置和阻塞关系。,需要持续成立的研究项目状态、检查周期和偏差规则,研究项目在指定期间持续有效的状态证据和偏差记录；验收要点：依赖图无未解释循环，任务启动条件可判定。,不更新执行状态。,研究方案
211,req_034,进度管理,sub_211,监控研究任务,记录任务待处理、进行中、完成、失败或阻塞状态。,运行中或持续变化的研究项目、观测指标、频率和异常阈值,持续更新的研究项目状态观测、异常事件和时间信息；验收要点：每次状态变化有时间和证据，状态与实际产物一致。,不执行任务。,研究方案
212,req_034,进度管理,sub_212,规划研究任务,根据研究目标、现有状态和约束，将项目拆分为具有依赖、产物和完成条件的任务。,研究目标、现有项目状态、约束、资源和里程碑,任务分解、依赖、产物、优先级和完成条件,不执行具体科研任务，不替代研究方案设计。,研究方案
213,req_035,连续性维护,sub_213,恢复研究项目状态,重建跨阶段工作状态并继续未完成流程。,中断状态、最近有效状态、依赖和继续条件,能够继续运行的研究项目状态、恢复位置和一致性记录；验收要点：代码、环境、实验和分析版本一致，已完成工作不重复或丢失。,不同于单个实验Checkpoint恢复。,研究方案；环境；数据；代码；实验；论文
214,req_035,连续性维护,sub_214,维持研究上下文,跨多轮和长时间执行持续使用已确认目标与约束。,需要持续成立的研究项目状态、检查周期和偏差规则,研究项目在指定期间持续有效的状态证据和偏差记录；验收要点：后续行动不违反有效约束，变更均能追溯到用户确认。,一次性纠正偏差使用相应的变更操作；对象边界：不含单个实验实例及其内部运行状态。,研究方案；科学问题；文献与外部证据；环境；数据；代码；实验；论文
215,req_036,风险管理,sub_215,请求研究确认,在不可逆、高成本或会改变研究方向的决策前请求授权。,待沟通事项、已知信息、沟通对象和决策边界,获得的补充信息、确认结果或明确记录的未决事项；验收要点：确认发生在动作前，问题明确包含选项、影响和目标对象。,同时要求改变其他目标时拆出相应操作；对象边界：不含单个实验实例及其内部运行状态。,研究方案；科学问题；文献与外部证据；环境；数据；代码；实验；论文
216,req_036,风险管理,sub_216,核验高风险操作权限,在操作前验证授权主体、目标和允许范围。,待核验命题、核验标准、目标范围和可追溯证据,关于权限命题的成立判断、差异清单和可追溯证据；验收要点：授权记录明确覆盖即将执行的具体动作和对象。,不设计恢复方案。,研究方案；文献与外部证据；环境；数据；代码；实验；论文
217,req_036,风险管理,sub_217,规划高风险操作回滚,为高风险操作准备可执行的状态恢复步骤。,研究目标、可用资源、约束、依赖和完成条件,包含步骤、依赖、资源、顺序和完成条件的行动计划；验收要点：回滚入口、备份、步骤和验证方法均在操作前测试或核对。,不代表已获得授权。,研究方案；环境；数据；代码；实验；论文
